,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
361,Emicida,Who Has a Friend (Has Everything),2020-05-07,funk_brazil,track
362,Duoscience,Sun Morning - Original,2020-06-22,funk_brazil,track
363,Various Artists,Soul Thing,2020-07-27,funk_brazil,track
364,Various Artists,Skyy Catz,2020-04-13,funk_brazil,track
365,Various Artists,Whoomp Just a Little - Softmal 2k20 Remix,2020-03-09,funk_brazil,track
366,Various Artists,Souvenirs - Miami Master 2k19,2020-04-13,funk_brazil,track
367,Duoscience,Safira,2020-08-12,funk_brazil,track
368,Duoscience,Wait For The Dawn - Original,2020-10-05,funk_brazil,track
369,Duoscience,So Real,2020-08-12,funk_brazil,track
370,Various Artists,San Juan Sunset,2020-08-07,funk_brazil,track
371,Duoscience,Bethesda,2020-09-28,funk_brazil,track
372,Various Artists,La Song,2020-08-24,funk_brazil,track
373,Various Artists,Maria fumaça,2020-03-13,funk_brazil,track
374,Various Artists,"Tamborim, Cuíca, Ganzá, Berimbau",2020-07-03,funk_brazil,track
375,Various Artists,Mr Funky Samba,2020-03-06,funk_brazil,track
376,Various Artists,Teardrops - Miami Master 2k19,2020-01-24,funk_brazil,track
377,Various Artists,The Finner Things,2020-12-18,funk_brazil,track
378,Various Artists,So Glad,2020-10-09,funk_brazil,track
379,Various Artists,I Know,2020-01-10,funk_brazil,track
380,Various Artists,Mr Funky Samba,2020-10-23,funk_brazil,track
381,Various Artists,Nobody Strike,2020-01-10,funk_brazil,track
382,Various Artists,Vôo sobre o horizonte,2020-05-22,funk_brazil,track
383,Duoscience,Georgia,2020-02-03,funk_brazil,track
384,Duoscience,Memorial - Original,2020-06-22,funk_brazil,track
385,Various Artists,Musihertz,2020-12-21,funk_brazil,track
386,Duoscience,Misterio,2020-11-20,funk_brazil,track
387,Various Artists,Da Style,2020-12-21,funk_brazil,track
388,Various Artists,Falcon Love Call (Armazém Nº 2),2020-01-10,funk_brazil,track
389,Various Artists,Goldfish,2020-01-10,funk_brazil,track
390,DJ Marnel,Know the Truth - Original Mix,2020-08-03,funk_brazil,track
391,Various Artists,Nobody Strike,2020-07-27,funk_brazil,track
392,Mystific,Starlight,2020-06-06,funk_brazil,track
393,Duoscience,Daily - Original,2020-07-03,funk_brazil,track
394,Various Artists,Baião,2020-04-24,funk_brazil,track
395,Various Artists,Groovin' That Funky - LLølita Edit,2020-04-12,funk_brazil,track
396,Various Artists,Sexy Lady - Miami Master 2k19,2020-01-10,funk_brazil,track
397,Various Artists,Touch,2020-08-24,funk_brazil,track
398,Various Artists,La Song,2020-12-18,funk_brazil,track
399,Fluid Form,La Fiesta - Original,2020-02-17,funk_brazil,track
400,Various Artists,Mr Funky Samba,2020-05-01,funk_brazil,track
401,Mystific,True Song,2020-03-06,funk_brazil,track
402,Various Artists,Anymore,2020-11-02,funk_brazil,track
403,Various Artists,Na baixa do sapateiro,2020-08-07,funk_brazil,track
404,Duoscience,Journey,2020-07-06,funk_brazil,track
405,Various Artists,Lá Onde Eu Vou Morar,2020-04-24,funk_brazil,track
406,Various Artists,Dance Machine,2020-09-21,funk_brazil,track
407,Various Artists,Dance Machine,2020-12-25,funk_brazil,track
408,Various Artists,Just The Way,2020-06-08,funk_brazil,track
409,Various Artists,Ironic,2020-12-21,funk_brazil,track
410,Duoscience,Supposed - Original,2020-07-03,funk_brazil,track
411,Various Artists,Phone Call,2020-10-09,funk_brazil,track
412,Mystific,Silence - Peyo Remix,2020-03-06,funk_brazil,track
413,Various Artists,Leblon via vaz lobo,2020-03-13,funk_brazil,track
414,Various Artists,Anymore,2020-11-02,funk_brazil,track
415,Various Artists,Corrida (Get Moving),2020-12-18,funk_brazil,track
416,Various Artists,Come On Baby,2020-03-09,funk_brazil,track
417,Various Artists,Urubu malandro,2020-10-09,funk_brazil,track
418,Various Artists,Unfolded,2020-12-21,funk_brazil,track
419,Various Artists,Groovin' That Funky - LLølita Edit,2020-07-27,funk_brazil,track
420,Various Artists,Da Style,2020-12-21,funk_brazil,track
421,Duoscience,Prayers,2020-02-03,funk_brazil,track
422,LLølita,Scarlett - Extended Mix,2020-08-14,funk_brazil,track
