,nombre_artista,nombre_canción,año_lanzamiento,género_musical,tipo
38,Son Del Barrio,De Repente,2019,pop,track
39,Various Artists,Poquito A Poco,2019,pop,track
40,Kañasur,Cofre de Mentiras,2019,pop,track
41,Maria Carrasco,Vienes,2019,pop,track
42,Various Artists,Everybody (Backstreet's Back) - Radio Edit,2019,pop,track
43,Ketito,Lunas Grises,2019,pop,track
44,Various Artists,Fácil,2019,pop,track
45,Various Artists,Ya No Tiene Novio - Remix,2019,pop,track
46,Various Artists,La primavera trompetera,2019,pop,track
47,Roberto Casalino,A Un Isolato Da Te,2019,pop,track
48,Luisa Lacerda,Lua Cheia,2019,pop,track
49,Nechivile,Muito amor envolvido,2019,pop,track
50,Xabi Bandini,Euforia,2019,rock,track
51,Da Igual,Eres Tú,2019,rock,track
52,Various Artists,Bonita,2019,rock,track
53,Los Rebeldes,Tequila - Remasterizado,2019,rock,track
54,Ataque Escampe,Tema d'A alma,2019,rock,track
55,Various Artists,La primavera trompetera,2019,rock,track
56,Los Rebeldes,Prefiero Verte Muerta - Remasterizado,2019,rock,track
57,Los Rebeldes,Oh! Darling (Ensayos Básicamente) - Remasterizado,2019,rock,track
58,Los Rebeldes,Un Español en Nueva York (Ensayos Básicamente) - Remasterizado,2019,rock,track
59,Planet Funk,All on Me,2019,rock,track
60,Os Amigos dos Músicos,Amor frugal,2019,rock,track
61,Young Forest,As Mom Said,2019,rock,track
62,Various Artists,Atravesándote - Live,2019,rock,track
63,Ruiperez,Ángel dorado,2019,rock,track
64,Ruiperez,El mejor de los regalos,2019,rock,track
65,Los Rebeldes,Great Balls of Fire - En Directo Coin Julio 1994,2019,rock,track
66,Los eternos,Tempestad,2019,rock,track
67,Os Amigos dos Músicos,Bicarelo,2019,rock,track
68,Various Artists,Pa Olvidarte,2019,rock,track
69,Los Rebeldes,Eres Especial - En Directo Bembibre Junio 1994,2019,rock,track
70,Young Forest,Home,2019,rock,track
71,Various Artists,De tus ojos - Versión Carlos Jean,2019,rock,track
72,Onki Xin,Daftne,2019,rock,track
73,Los Rebeldes,Billy LaRocca - Remasterizado,2019,rock,track
74,Los Rebeldes,Hacerte el Amor (Ensayos Básicamente) - Remasterizado,2019,rock,track
75,Various Artists,Un niño,2019,rock,track
76,Igor Paskual,Inmortal,2019,rock,track
77,Ruxe Ruxe,Rock Bravú,2019,rock,track
78,Kitai,Shalalala,2019,rock,track
79,Sutan,Bat,2019,rock,track
80,Alejandro Conde,Igual Que Novios,2019,rock,track
81,Roberto Casalino,A Un Isolato Da Te,2019,rock,track
82,Supercobra,Are You Ready?,2019,rock,track
83,Various Artists,"Oh, Carol!",2019,rock,track
84,Jardim Soma,Intacto,2019,rock,track
85,Los Ghoul Espantos,El Siniestro Espectro de las Vias,2019,rock,track
86,Smile And Burn,Zubetoniert,2019,rock,track
87,Various Artists,Stand By Me,2019,rock,track
88,Los Muecas,Alicia,2019,rock,track
89,Los Muecas,Prieta Linda,2019,rock,track
90,Los Muecas,Anillo De Compromiso,2019,rock,track
91,Various Artists,La Hielera,2019,rock,track
92,Los Muecas,Desde Que Dios Amanece,2019,rock,track
93,Los Muecas,Por El Bien De Los Dos,2019,rock,track
94,Los Muecas,Tres Regalos,2019,rock,track
95,Los Muecas,Que Ironia,2019,rock,track
96,Various Artists,Amargo Dolor,2019,rock,track
97,Los Muecas,Indita Mia,2019,rock,track
98,Los Muecas,Desde Que Dios Amanece,2019,rock,track
99,Charlie Monttana,Sola,2019,rock,track
100,Various Artists,Margrats,2019,techno,track
101,Disco Van,Missing,2019,techno,track
102,Marco Ginelli,Acidizer - Guillermo DR Remix,2019,techno,track
103,Various Artists,Clouds,2019,techno,track
104,AAAA,True Peak,2019,techno,track
105,Various Artists,Dentrito,2019,techno,track
106,Yan Oxygen,TrES-2b - Dandi & Ugo vs Steve Soprani Remix,2019,techno,track
107,Various Artists,Funk Boy,2019,techno,track
108,Hernan Bass,De ningun lado - Basti Grub Remix B2,2019,techno,track
109,Norberto Lusso,57,2019,techno,track
110,Various Artists,Ritual,2019,techno,track
111,Various Artists,Unnamed Feeling,2019,techno,track
112,Sven Kuhlmann,Fast Forward - Club Mix,2019,techno,track
113,Peppelino,Boracay,2019,techno,track
114,Manu Sami,Zubobol,2019,techno,track
115,Ken Karter,DXY_129.6,2019,techno,track
116,Disco Ball'z,Line Back,2019,techno,track
117,Duck Sandoval,Holy Grail - Melissa Queen Remix,2019,techno,track
118,Various Artists,Indiana Groove - Tribal Drum Edit,2019,techno,track
119,Dkult,Desejo,2019,techno,track
120,Various Artists,Secret Societies,2019,techno,track
121,Various Artists,Mutant - Bjœrn stolpmann Remix,2019,techno,track
122,Qoso,Exfolio,2019,techno,track
123,Lorenzo Al Dino,Flood - Animal Trainer Remix,2019,techno,track
124,Zareh Kan,Eco,2019,techno,track
125,Various Artists,Methane - Original Mix,2019,techno,track
126,Dj Scale Ripper,Ketracel White,2019,techno,track
127,Javier Marimon,Famine Uptown - Original Mix,2019,techno,track
128,Various Artists,Can't Take It,2019,techno,track
129,Sebastian Konrad,Eyy DJ - Radio Edit,2019,techno,track
130,Droneghost,Curse Two,2019,techno,track
131,Various Artists,Bloodline,2019,techno,track
132,Q-Lee,Calibration - Twenty Three Rmx,2019,techno,track
133,Various Artists,Quartet,2019,techno,track
134,Various Artists,OK,2019,techno,track
135,DJ D ReDD,Fall Into Darkness,2019,techno,track
136,Various Artists,Enigmatik - Original Mix,2019,techno,track
137,Random Sequence,Tone 1,2019,techno,track
138,Various Artists,Burn Together - Extended Mix,2019,techno,track
139,Various Artists,Choir Theme,2019,techno,track
140,Omega Drive,Vamos,2019,techno,track
141,Steve Menta,Muntar,2019,techno,track
142,Various Artists,Totem - Victor Enzo Remix,2019,techno,track
143,Various Artists,Simulation,2019,techno,track
144,MOD3LLR,QQ01,2019,techno,track
145,Various Artists,Sexy Maya - Original Mix,2019,techno,track
146,Phaedon,Conscious Hugging - Original Mix,2019,techno,track
147,Israel Toledo,Perverted Theory,2019,techno,track
148,Gaboo,Swap - Original Mix,2019,techno,track
149,Alexskyspirit,Hypnosis,2019,techno,track
150,Har-El,Exile Babylon,2019,trance,track
151,Various Artists,The Last Conception,2019,trance,track
152,Various Artists,License to Dance,2019,trance,track
153,Various Artists,New Life - Gaston Ponte Remix,2019,trance,track
154,Various Artists,Rearm - Extended Mix,2019,trance,track
155,Various Artists,Snowdrift,2019,trance,track
156,Various Artists,Step Outside - Matt Darey Extended Trance Mix,2019,trance,track
157,Various Artists,Hattori - Club Mix,2019,trance,track
158,Nicolas Rada,Lion's Mane - Navar Remix,2019,trance,track
159,Bynomic,The Girl From the Universe,2019,trance,track
160,Milos Miladinovic,Demain - Mixed,2019,trance,track
161,Various Artists,Strandloper,2019,trance,track
162,Chris Hampshire,The Door - Activa Remix,2019,trance,track
163,Armos,A Volar - Armos Remix,2019,trance,track
164,Madloch,Salty Roads - Cid Inc Remix,2019,trance,track
165,Ferry Corsten's Countdown,Intersection (CC634),2019,trance,track
166,Various Artists,Abenaki - Extended Mix,2019,trance,track
167,Eric Senn,Jump,2019,trance,track
168,Various Artists,Devotion,2019,trance,track
169,Roman Messer Suanda Radio,Distance (Suanda 188) - Festival Mix,2019,trance,track
170,Armin van Buuren ASOT Radio,"A State Of Trance (ASOT 926) - This Week's Service For Dreamers, Pt. 1",2019,trance,track
171,Andrew Rayel,Better Place (FYH156),2019,trance,track
172,Various Artists,Carpo (AIR265),2019,trance,track
173,Cosmic Gate's Wake Your Mind Radio,Arm Strong (WYM257) - Extended Mix,2019,trance,track
174,Luke Terry,Escape From Antarctica - Mike Shiver's Garden State Remix,2019,trance,track
175,California Sunshine,Backwards - Remix,2019,trance,track
176,Above & Beyond Group Therapy,Group Therapy (Messages Pt. 6) [ABGT343],2019,trance,track
177,Andrew Rayel,Secret (FYH161) - Kinetic Mix,2019,trance,track
178,Markus Schulz - Global DJ Broadcast,It's All About The Melody,2019,trance,track
179,Tom Exo,Escape From Heaven,2019,trance,track
180,Various Artists,Stereo Space - Nerso Remix,2019,trance,track
181,Various Artists,Acks,2019,trance,track
182,Aly & Fila,Future Sound Of Egypt (FSOE 605) - Roger Shah Guestmix,2019,trance,track
183,Various Artists,Black Wings - Andrew Henry Remix,2019,trance,track
184,Nick Newman,Closure - Mixed,2019,trance,track
185,Various Artists,Hundred Flowers,2019,trance,track
186,Indi,Tibetan Bells,2019,trance,track
187,Various Artists,Trigger,2019,trance,track
188,Various Artists,Yerba Del Diablo - Fitness Version,2019,trance,track
189,Various Artists,Jano,2019,trance,track
190,Airwave,Coka's Song - Remastered Original Mix,2019,trance,track
191,Various Artists,Decades - Extended Mix,2019,trance,track
192,Various Artists,Ground Zero - Original,2019,trance,track
193,Various Artists,Voices,2019,trance,track
194,S.H.O.K.K.,Souvenir - Class Of 1999 Mix,2019,trance,track
195,Second Reason,Explorer,2019,trance,track
196,Various Artists,Acme,2019,trance,track
197,Aevus,Renaissance,2019,trance,track
198,Tom Wax,You Make Me - Dub Mix,2019,trance,track
199,Various Artists,Uprising,2019,trance,track
200,Various Artists,A Medellin,2019,pop,track
201,Los Relicarios,Llorando en las Cantinas,2019,pop,track
202,Alberto Cortez,Mucho Amor,2019,pop,track
203,Nechivile,Se você fosse,2019,pop,track
204,Abhijit Majumdar,O Re Mehruban,2019,pop,track
205,Bhakta Prasad Barik,Bela Re Bela,2019,pop,track
206,Raju Rawal,Ae Mhari Chikudi,2019,pop,track
207,Dikshu,Parijaat,2019,pop,track
208,Kuber Geetpariha,Bholi Suratiya,2019,pop,track
209,Mithu Marshal,Bhatar Me U Naikhe Sawad,2019,pop,track
210,Various Artists,O Deota,2019,pop,track
211,Aakangkhya Das,Aai,2019,pop,track
212,Akshaya Mohanty,Nahin Mo Pade Aji Nupura,2019,pop,track
213,Seguimos Perdiendo,T.q.v.,2019,pop,track
214,Mohini Pandey Priti,Gaari Dehab Chun Ke,2019,pop,track
215,Havelocke,Shudder,2019,pop,track
216,Guto Lima,Mundo de Ilusão,2019,pop,track
217,Various Artists,Insecure,2019,pop,track
218,Nilla Pizzi,Papaveri e papere,2019,pop,track
219,Dinesh Lal Yadav,Hindi English Chhori,2019,pop,track
220,Dr. Kiran Thotambyle,"Love Annodu Ondh Dodda Roga (From ""I Love You"")",2019,pop,track
221,Indra Dhavsi,Sonal Garbo,2019,pop,track
222,Nura M. Inuwa,Jimami Zan Yi Idan Ka Tafi,2019,pop,track
223,Pedrinho Cavalléro,Frevo do Rei Destronado,2019,pop,track
224,Reshma,Sasu Niyari,2019,pop,track
225,Various Artists,Dive Bar of Dreamers,2019,pop,track
226,Gopal Gurjar,Chhoro Gurjar KO,2019,pop,track
227,Various Artists,Good Lovin,2019,pop,track
228,Chinar Music,Madano,2019,pop,track
229,Arvind Akela Kallu Ji,Ba Pichkari Taiyaar Ae Bhauji,2019,pop,track
230,Mousam Gogoi,Sorai Bali Mahi,2019,pop,track
231,Singrai Soren,Bagi Adinjam,2019,pop,track
232,Noé Willer,La plus belle de la salsa,2019,pop,track
233,Pawan Singh,Tani Dhire Se,2019,pop,track
234,Los Relicarios,Me Haces Falta,2019,pop,track
235,Chokamkuru Langneh,Rong-Aje (Serjang Ronghank Remix),2019,pop,track
236,"Pankaj,Mitali Ghosh,Pawan",A Jins Wali,2019,pop,track
237,Balkar Ankhila,Satnaam Waheguru,2019,pop,track
238,Joe Brown,Stick Around,2019,pop,track
239,夏婉安,勇敢 - 伴奏版,2019,pop,track
240,"Pankaj,Monika,Pawan",Tor Se Bichhad Ke,2019,pop,track
241,Hozan Şervan,Bekesım,2019,pop,track
242,Sri Kumar,Rati Sara Rahe Tama Jharka Khola,2019,pop,track
243,Various Artists,Princesa,2019,pop,track
244,Various Artists,Hunajaisin huulin,2019,pop,track
245,Bianka,Мой пацан,2019,pop,track
246,Various Artists,Zeg Het Met Bloemen,2019,pop,track
247,Baidyanath Dash,Joudina To Premare-Duet,2019,pop,track
248,Cassette,(ไม่)ไกล,2019,pop,track
249,Various Artists,"Canta, Brasil",2019,pop,track
250,Various Artists,Hey Joe,2019,rock,track
251,Juan Hernández y Su Banda de Blues,Octubre,2019,rock,track
252,Star Arcana,So Bored,2019,rock,track
253,Tommy Steele,Cannibal Pot,2019,rock,track
254,螟上?邨ゅo繧,狂夏,2019,rock,track
255,SABOTEN,M3105,2019,rock,track
256,Various Artists,Hold It Down,2019,rock,track
257,Don Vail,Stand of Tide,2019,rock,track
258,La Matatena,Los Mediocres,2019,rock,track
259,BETAMENSCH,Nur Gewinner,2019,rock,track
260,Various Artists,A House Is Not a Home,2019,rock,track
261,XO Planets,All-In - Single Edit,2019,rock,track
262,FLOWERS,Chemical Burn,2019,rock,track
263,Paola Iezzi,White Christmas,2019,rock,track
264,The Residents,"Another Land - Live, The Roxy, Los Angeles, 1982",2019,rock,track
265,Various Artists,I'm Cracking up I Need a Pill,2019,rock,track
266,George Jones,Flame in My Heart - Remastered,2019,rock,track
267,Various Artists,Barber Chair,2019,rock,track
268,William Harries Graham,Light It Up,2019,rock,track
269,The High Dials,Near Life Experience - Bonus Track,2019,rock,track
270,Various Artists,Spanish Harlem,2019,rock,track
271,Various Artists,Singing On The Other Side,2019,rock,track
272,Marty Wilde,Alone,2019,rock,track
273,Cosmo Drah,Pense (Contracorrente),2019,rock,track
274,Jordi Batiste,"Oh, Montserrat",2019,rock,track
275,Various Artists,We've Got Tonight,2019,rock,track
276,Black Tropical,Circles,2019,rock,track
277,UNICORN,1172,2019,rock,track
278,The Guy Who Sings Songs About Cities & Towns,"Brighton, Colorado",2019,rock,track
279,Various Artists,Black Cinderella,2019,rock,track
280,Various Artists,Good Lovin’ - Single Version,2019,rock,track
281,Ricky Diamond,Ride Your Time,2019,rock,track
282,Magaivers,Fórmula do Amor,2019,rock,track
283,SABOTEN,COOKBOSS,2019,rock,track
284,JP Stingray,Wonderful Tonight,2019,rock,track
285,Ronnie Hawkins,Mister and Mississippi,2019,rock,track
286,Various Artists,Radar Love,2019,rock,track
287,An Early Bird,Breaker,2019,rock,track
288,Various Artists,Roots Rock,2019,rock,track
289,Zander,Dezesseis,2019,rock,track
290,Various Artists,Easy to Slip,2019,rock,track
291,Resgate,"Se Existisse o ""Se""",2019,rock,track
292,Various Artists,Tonight (Mono),2019,rock,track
293,Dirty York,Why I Burn,2019,rock,track
294,Various Artists,Memphis,2019,rock,track
295,Сергей Маврин,Дорога в рай - Live,2019,rock,track
296,WONDERGEL,Di Bangku Taman,2019,rock,track
297,Beto Bruno,Não É Todo Mundo Que Tá de Boa Contigo,2019,rock,track
298,Brenda Lee,I'm Sorry,2019,rock,track
299,Various Artists,We're In This Love Together,2019,rock,track
300,Various Artists,Ferga - Luke Chable Remix,2019,techno,track
301,Various Artists,Transformers,2019,techno,track
302,Nae:Tek,Decollo - Schulz Audio Rmx,2019,techno,track
303,Tender H,Spring Mood,2019,techno,track
304,Abbeloos Olivier,Phat Boy,2019,techno,track
305,Goncalo M,Obscene Transmission,2019,techno,track
306,Hunter/Game,Reaction - Jamaica Suk Remix,2019,techno,track
307,Various Artists,Zero Three,2019,techno,track
308,Damon Paul,Rhythm Is a Dancer - Radio Version,2019,techno,track
309,Various Artists,Tekno Slut,2019,techno,track
310,ÁCIDA ÁCIDA,Generación,2019,techno,track
311,Evil Jokes,Goa Acid,2019,techno,track
312,Mown,Intrication,2019,techno,track
313,Greg Denbosa,Etoile - D-Tech Remix,2019,techno,track
314,Atlaxsys,I'm Shelley Duvall,2019,techno,track
315,Seventh Sea,Aphasia,2019,techno,track
316,Various Artists,Turn My Bit Back,2019,techno,track
317,Balrog,Welfare Cut,2019,techno,track
318,Sopik,What You Think,2019,techno,track
319,Various Artists,Pandora,2019,techno,track
320,Various Artists,9V - Original Mix,2019,techno,track
321,Various Artists,People in the Metro,2019,techno,track
322,Corner,What,2019,techno,track
323,Various Artists,Cinders to Ash,2019,techno,track
324,Deeperwalk,Down the Line,2019,techno,track
325,Various Artists,Estratosfera,2019,techno,track
326,H.N.P,Black and White - Dub Mix,2019,techno,track
327,Melodymann,Runaway - Original Mix,2019,techno,track
328,David Temessi,Acid Warrior,2019,techno,track
329,Fernie,Eugenics - Remotion Remix,2019,techno,track
330,Krisz Deak,Free Spirit,2019,techno,track
331,Gaboo,Blue Dream (feat. Corner) - Original Mix,2019,techno,track
332,Remute,Controlled Meltdown,2019,techno,track
333,Various Artists,La Momia,2019,techno,track
334,Various Artists,Confident Journey,2019,techno,track
335,Marco Ginelli,I Am Techno - Ben Knoxx Remix,2019,techno,track
336,George Libe,Rubber - Original Mix,2019,techno,track
337,Hans Bouffmyhre,Game for Anything,2019,techno,track
338,Manel Diaz,OMG,2019,techno,track
339,Various Artists,Alaska,2019,techno,track
340,R.Hz,Dusk,2019,techno,track
341,Various Artists,Next Level,2019,techno,track
342,Various Artists,Cataclysm B,2019,techno,track
343,Chipi,One In The Chamber,2019,techno,track
344,Roman Faero,The One - Original Mix,2019,techno,track
345,Kinko,Radialectica,2019,techno,track
346,Cemento,Tropical North,2019,techno,track
347,Andreas Gehm,707Moog=125 Trakk 4,2019,techno,track
348,Various Artists,Destructive,2019,techno,track
349,Various Artists,Frau Wunderlich geht aus,2019,techno,track
350,Ricardo Piedra,Vagabond,2019,trance,track
351,Various Artists,Transitions,2019,trance,track
352,Various Artists,Blissful Guidance,2019,trance,track
353,Various Artists,First Impression - Radio Edit,2019,trance,track
354,Various Artists,Through The Wormhole,2019,trance,track
355,North Core Project,Heartbeat,2019,trance,track
356,Various Artists,Deep into Sun - Short Mix,2019,trance,track
357,Various Artists,Namor Hero,2019,trance,track
358,Chris Giuliano,Cali Quake,2019,trance,track
359,Roman Messer Suanda Radio,Pure Heart (Suanda 184) - Syntouch Remix,2019,trance,track
360,Neogenia,Soul Collector,2019,trance,track
361,Various Artists,Azure - Radio Edit,2019,trance,track
362,Stargazers,Black Diamond,2019,trance,track
363,Goa Doc,Inner Earth - Goa Psytrance 2020 DJ Mixed,2019,trance,track
364,Various Artists,Lotus - Original mix,2019,trance,track
365,Ian Source,Till the Sun Comes Up - Radio Mix,2019,trance,track
366,Andrew Rayel,Ultraviolet (FYH164),2019,trance,track
367,Various Artists,Seductive Sounds,2019,trance,track
368,Various Artists,Enjoy the Greatness - Club Mix,2019,trance,track
369,Various Artists,Above The Sky,2019,trance,track
370,DoctorSpook,Set Or Reset - Progressive House Trance 2020 DJ Mixed,2019,trance,track
371,Various Artists,Sharazed - The Painkillers Remix,2019,trance,track
372,Pedro Capelossi,Cala Mystica - D.Jameson Remix,2019,trance,track
373,Eric Lune,Water Lily - Rafa'EL Remix,2019,trance,track
374,Matt Darey,Black Flowers - Josh Gabriel Extended Remix,2019,trance,track
375,Major7,Superman - Extended Mix,2019,trance,track
376,Tom Wax,Bells & Birds,2019,trance,track
377,Various Artists,Exploration,2019,trance,track
378,Various Artists,Pray,2019,trance,track
379,Various Artists,Lungs (AIR252),2019,trance,track
380,Ori Uplift,Wonderful Feeling [UpOnly 355] - Ryan Raeside - Mix Cut,2019,trance,track
381,Various Artists,Words,2019,trance,track
382,Andrew Rayel,Running For Our Lives (FYH ADE 2019 Special),2019,trance,track
383,Various Artists,We Are One - Club Mix,2019,trance,track
384,Various Artists,Flow - Invisible Reality Remix,2019,trance,track
385,Various Artists,Back to Home - Original Mix,2019,trance,track
386,Goa Doc,Ribos - Progressive Goa Trance 2020 DJ Mixed,2019,trance,track
387,Various Artists,Running in Underground - Le Blanque Mix,2019,trance,track
388,Various Artists,Gravitational Pull,2019,trance,track
389,Various Artists,Carte Blanche (AIR254) - KhoMha Remix,2019,trance,track
390,Various Artists,Hysteresis,2019,trance,track
391,Blank & Jones,Change My Mind - Pete Herbert Dub,2019,trance,track
392,Ferry Corsten's Countdown,Through The Stars (CC617),2019,trance,track
393,Various Artists,Forever,2019,trance,track
394,Various Artists,Landside - Dezza Remix,2019,trance,track
395,Various Artists,Set You Free - Radio Mix,2019,trance,track
396,Various Artists,Techmology - Deejavoo Remix,2019,trance,track
397,Madwave,Interlunium - Radio Mix,2019,trance,track
398,Various Artists,Contrast,2019,trance,track
399,Various Artists,Dreamer (Tommy Reid Remix),2019,trance,track
400,Marty Wilde,Splish Splash,2019,pop,track
401,Gregor Meyle,Stolz auf uns,2019,pop,track
402,Aghasi Ispiryan,sharan,2019,pop,track
403,Румиса Никаева,Ахь къагийна дахар,2019,pop,track
404,Ahmad Solo,Akhmooye Jazzab,2019,pop,track
405,Mario Battaini,Come porti i capelli bella bionda,2019,pop,track
406,Yma Sumac,Farewell,2019,pop,track
407,Playground Circus,We Had Enough,2019,pop,track
408,Walter Wanderley,De Conversa em Conversa,2019,pop,track
409,Alberto Moreno,Agora Eu Não Sei Não,2019,pop,track
410,Dharani Mahato,More Jabo Toke Na Pale,2019,pop,track
411,Guto Lima,Deixa Eu Te Chamar de Meu Amor,2019,pop,track
412,Narendra Kumar,Jibana Di Pada Gita 1,2019,pop,track
413,Los Relicarios,Te Saqué de Mi Pecho,2019,pop,track
414,Ali Ashabi,To Rast Migi (Remix),2019,pop,track
415,Ivey,Bodies,2019,pop,track
416,Samar Singh,Service Line Pa Chadha Di Na Numberwa Rajau Ke,2019,pop,track
417,Various Artists,My Lovin' (You're Never Gonna Get It),2019,pop,track
418,Joshua Payne,Not the Only One,2019,pop,track
419,Lontraz,Puro Deboche,2019,pop,track
420,The Successful Failures,Love You So,2019,pop,track
421,Various Artists,Opekkhar Prohor,2019,pop,track
422,Amulya Dansena,Nua Nua Disuchha,2019,pop,track
423,SABOTEN,COOKBOSS,2019,pop,track
424,Devi,Maiya Badhawa Pa Hoke Sawar,2019,pop,track
425,The Brothers Steve,Listen up! (It's Christmastime),2019,pop,track
426,Rajender Singh Kharkiya,Vir Charetar Sun,2019,pop,track
427,Vijay Varma,Piya Mai Jangi Mela Mai,2019,pop,track
428,NMB48,ピンク色の世界 (off vocal ver.),2019,pop,track
429,Anand Shinde,Baget Sarva Jatiche He,2019,pop,track
430,Olivia Lewis,"Hoofdstuk 47 - Spelen met vuur - King, deel 1",2019,pop,track
431,Andrew Gold,A Note from You,2019,pop,track
432,Betty Curtis,Un Bacio Sulla Bocca,2019,pop,track
433,Tamboerijn,Marijke,2019,pop,track
434,R Raju,Dena Ho Toh Dijiye,2019,pop,track
435,Jose Muñoz,Las Mentiras,2019,pop,track
436,Subash Dash,Kalia Dian Kalia Muhan 1,2019,pop,track
437,"Pawan, Pankaj,Monika",Chhote Mote Mahuwa,2019,pop,track
438,Gitartha Girin,Mure Jaan Oi - Original,2019,pop,track
439,Singrai Soren,Rorsananja Landasananja,2019,pop,track
440,Balkar Ankhila,Satnaam Waheguru,2019,pop,track
441,Omar Meshiawy,Shamal,2019,pop,track
442,"Azad Ansari,Manju Devi",Jharkhand Kar Gali,2019,pop,track
443,Seksikäs-Suklaa,Ohi on,2019,pop,track
444,RNG Bros,Chikudi,2019,pop,track
445,Various Artists,Nem cinco minutos guardados - Live,2019,pop,track
446,"Pankaj,Mitali Ghosh,Pawan",Heer Ranjha Lakhe Karab Toke Payar,2019,pop,track
447,Kleo Dibah,Desapaixonado,2019,pop,track
448,GEO,Vozes,2019,pop,track
449,Tensaibonjin,The Greatest Ojisan,2019,pop,track
450,The Cosmic Highway,Dejavu,2019,rock,track
451,Young Folkies,Baa Baa Black Sheep,2019,rock,track
452,Billy Fury,If I Lose You (Halfway to Paradise),2019,rock,track
453,Frazé-Frazénko,Я це я,2019,rock,track
454,Выход,Пригласи меня на анашу,2019,rock,track
455,Marty Wilde,Lullaby - Re-recording,2019,rock,track
456,Various Artists,Beso asesino,2019,rock,track
457,Billy Joe Royal,Mountain Woman,2019,rock,track
458,Various Artists,Country Roads,2019,rock,track
459,Various Artists,I Walk On Guilded Splinters,2019,rock,track
460,Danny Adler,Blues Around Midnight - Live,2019,rock,track
461,Tropical Worms,Ratheads,2019,rock,track
462,Various Artists,Talkin' 'Bout You,2019,rock,track
463,King Tubby,Dub Experience,2019,rock,track
464,Various Artists,You've Got That Something Wonderful,2019,rock,track
465,Heat of Damage,Mind over Matter,2019,rock,track
466,Various Artists,Owner of a Lonely Heart,2019,rock,track
467,Hell Lotus,Svcker,2019,rock,track
468,Various Artists,Gentle Tuesday,2019,rock,track
469,Prader & knecht,Then Leave Me,2019,rock,track
470,Manuel Aspidi,E si va,2019,rock,track
471,BTR,None of These,2019,rock,track
472,Seahorses,The Converse of an Innocent Mind,2019,rock,track
473,Therly Lemos,Não Vamos Parar,2019,rock,track
474,Duane Eddy,John Henry,2019,rock,track
475,Larry Williams,"You Bug Me, Baby - Remastered",2019,rock,track
476,Slim Harpo,Blues Hangover,2019,rock,track
477,SABOTEN,ﾊﾞｲｷﾝｸﾞｱﾀｯｸ,2019,rock,track
478,Chronicles of Khan,Halo,2019,rock,track
479,Home Brewed Universe,Reassurance,2019,rock,track
480,Orbit Service,The Coldest Nights,2019,rock,track
481,The Residents,Confused (By What I Felt Inside) - Demo,2019,rock,track
482,Various Artists,Feelin' Stronger Every Day,2019,rock,track
483,Various Artists,Rod,2019,rock,track
484,Gustafer Yellowgold,Ellen Lemon,2019,rock,track
485,Various Artists,Born Again,2019,rock,track
486,Delroy Wilson,My Special Lady,2019,rock,track
487,Valente,Meu Andar - Stripped Mix,2019,rock,track
488,Various Artists,Dime por qué,2019,rock,track
489,Various Artists,She's Gone,2019,rock,track
490,Various Artists,Come prima (Slow),2019,rock,track
